heure,zone,catr,grav,lat,long
15,2,4,1,48.92537957,2.27435625
15,2,4,4,48.92537957,2.27435625
12,1,3,1,47.749063,0.16045
12,1,3,3,47.749063,0.16045
16,1,3,3,47.78646531,-1.27587855
16,1,3,4,47.78646531,-1.27587855
07,1,2,3,-20.963438,55.302676
22,1,3,3,45.72452476,4.62493685
08,1,3,3,47.93098,-2.084436
19,1,3,1,45.68396,4.417727
19,1,3,4,45.68396,4.417727
22,1,1,1,44.533074,4.802442
22,1,1,3,44.533074,4.802442
15,1,3,3,45.892248,1.456364
15,1,3,4,45.892248,1.456364
23,1,3,2,46.344051,0.828268
22,1,4,3,49.329128,2.916893
11,1,3,1,45.828044,-1.121973
11,1,3,4,45.828044,-1.121973
17,1,3,1,46.80232018,-1.04102584
17,1,3,4,46.80232018,-1.04102584
18,2,4,1,49.919499,4.123102
18,2,4,4,49.919499,4.123102
16,1,3,1,47.733637,1.146827
16,1,3,2,47.733637,1.146827
16,1,3,4,47.733637,1.146827
06,1,1,1,49.29674,6.1559
06,1,1,3,49.29674,6.1559
04,1,1,3,50.43513194,2.72575446
14,1,3,1,43.454395,5.876575
14,1,3,3,43.454395,5.876575
14,1,3,4,43.454395,5.876575
19,1,1,1,50.43139944,2.8487746
19,1,1,4,50.43139944,2.8487746
10,1,7,2,49.063161,6.186279
10,1,7,4,49.063161,6.186279
09,1,1,1,48.86690246,2.42530059
09,1,1,4,48.86690246,2.42530059
18,1,3,1,47.890899,-2.719004
18,1,3,4,47.890899,-2.719004
00,1,1,1,48.98341557,2.21876294
00,1,1,3,48.98341557,2.21876294
05,2,4,3,-17.53559,-149.555502
13,2,4,1,47.653496,-2.734755
13,2,4,3,47.653496,-2.734755
13,2,4,4,47.653496,-2.734755
11,2,2,1,-12.7721,45.22327
11,2,2,4,-12.7721,45.22327
16,1,1,1,49.573064,1.275696
16,1,1,3,49.573064,1.275696
20,2,2,1,-20.89337,55.47051
20,2,2,3,-20.89337,55.47051
20,1,3,3,49.912342,1.688129
20,2,3,1,43.306287,0.034193
20,2,3,3,43.306287,0.034193
08,2,3,1,4.9308,-52.30555
08,2,3,3,4.9308,-52.30555
08,2,3,4,4.9308,-52.30555
16,1,3,1,46.173901,4.651038
16,1,3,3,46.173901,4.651038
11,1,1,1,14.61523,-61.0139
11,1,1,4,14.61523,-61.0139
06,2,3,3,47.25400829,-1.15093321
02,2,4,4,45.74693,4.82889
15,1,3,1,44.553751,2.070193
15,1,3,3,44.553751,2.070193
13,1,2,1,42.621,9.437
13,1,2,4,42.621,9.437
05,2,4,1,44.323641,0.786582
05,2,4,4,44.323641,0.786582
15,1,2,3,16.25337,-61.53421
14,1,3,3,44.402545,0.223374
14,1,3,4,44.402545,0.223374
09,2,3,1,16.05205,-61.56229
09,2,3,3,16.05205,-61.56229
20,1,3,3,44.14410821,0.77873935
20,2,4,4,41.95234,8.7744
14,2,4,3,43.734462,3.312914
14,2,3,2,47.85522,-4.24067
17,2,4,1,49.048763,2.034172
17,2,4,4,49.048763,2.034172
00,1,3,4,46.062411,4.770647
12,2,1,4,49.04483469,2.07642562
